N°,TIPO,FECHA,MODALIDAD,DIRECCIÓN,SECTOR,CATEGORIA
"1,897",APOYO A PNP,29/10/2018 13:40,,"AV. PASEO PARODI, SAN ISIDRO",4-1,
"1,898",APOYO A PNP,07/10/2018 00:00,,"CA. FUENTES, MANUEL ATANASIO N° 0881, SAN ISIDRO",4-3,
"1,899",APOYO A PNP,05/10/2018 14:39,,"AV. ARAMBURU, ANDRÉS N° 0981, SAN ISIDRO",4-4,
"1,900",APOYO A PNP,03/10/2018 15:12,,"AV. BASADRE GROHMANN, JORGE, SAN ISIDRO",3-1,
"1,901",APOYO A PNP,01/10/2018 07:10,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0492, SAN ISIDRO",5-2,
"1,902",APOYO A PNP,31/10/2018 09:45,,"CA. DE CERVANTES SAAVEDRA, MIGUEL, SAN ISIDRO",2-5,
"1,903",APOYO A PNP,30/10/2018 18:47,,"CA. PAZ Y PERFECTA UNION N° 0668, SAN ISIDRO",5-4,
"1,904",APOYO A PNP,30/10/2018 17:38,,"PQ. PARQUE GRECIA N° SN, SAN ISIDRO",2-7,
"1,905",APOYO A PNP,30/10/2018 16:29,,"CA. VILLARAN, LUIS FELIPE, SAN ISIDRO",4-3,
"1,906",APOYO A PNP,30/10/2018 15:07,,"CA. LAS GROJILLAS N° 0296, SAN ISIDRO",5-2,
"1,907",APOYO A PNP,29/10/2018 09:35,,"CA. RAMSEY, TOMÁS N° 0904 DPTO 1903, SAN ISIDRO",1-3,
"1,908",APOYO A PNP,29/10/2018 06:33,,"AV. SANTO TORIBIO N° 0185, SAN ISIDRO",3-2,
"1,909",APOYO A PNP,29/10/2018 02:07,,"C.HAB RESIDENCIAL SANTA CRUZ BLK F , SAN ISIDRO",2-4,
"1,910",APOYO A PNP,28/10/2018 23:47,,"AV. CAVENECIA, EMILIO N° 0325, SAN ISIDRO",3-2,
"1,911",APOYO A PNP,28/10/2018 22:16,,"AV. PRADO OESTE, JAVIER N° 2420, SAN ISIDRO",1-3,
"1,912",APOYO A PNP,27/10/2018 12:19,,"CA. ROMANET, TENIENTE JOSÉ N° 0132 PIS 4, SAN ISIDRO",2-3,
"1,913",APOYO A PNP,27/10/2018 09:10,,"CA. ROMANET, TENIENTE JOSÉ N° 0132 PIS 1, SAN ISIDRO",2-3,
"1,914",APOYO A PNP,27/10/2018 09:00,,"PQ. PARQUE TENIENTE ENRIQUE PALACIOS N° SN, SAN ISIDRO",5-4,
"1,915",APOYO A PNP,27/10/2018 08:58,,"CA. CHOQUEHUANCA N° 1080, SAN ISIDRO",1-6,
"1,916",APOYO A PNP,26/10/2018 23:30,,"PQ. PLAZUELA GANDHI N° SN, SAN ISIDRO",2-7,
"1,917",APOYO A PNP,26/10/2018 21:21,,"CA. MONTEAGUDO, BERNARDO N° 0234, SAN ISIDRO",2-1,
"1,918",APOYO A PNP,26/10/2018 21:18,,"AV. DASSO, MIGUEL N° 0113, SAN ISIDRO",2-5,
"1,919",APOYO A PNP,26/10/2018 17:35,,"PQ. ALBERTO HURTADO ABADIA N° SN, SAN ISIDRO",2-6,
"1,920",APOYO A PNP,26/10/2018 17:30,,"AV. LOS CONQUISTADORES N° 0133, SAN ISIDRO",3-3,
"1,921",APOYO A PNP,26/10/2018 17:00,,"CA. FERREYROS URMENETA, DR. CARLOS ENRIQUE N° 0960, SAN ISIDRO",5-3,
"1,922",APOYO A PNP,26/10/2018 15:41,,"CA. SAN ALEJANDRO N° 0134, SAN ISIDRO",3-3,
"1,923",APOYO A PNP,25/10/2018 18:55,,"AV. ARAMBURU, ANDRÉS N° 0715, SAN ISIDRO",4-4,
"1,924",APOYO A PNP,23/10/2018 07:22,,"CA. LOS LAURELES N° 0362, SAN ISIDRO",1-5,
"1,925",APOYO A PNP,22/10/2018 21:56,,"C.HAB RESIDENCIAL SANTA CRUZ BLK N N° 101, SAN ISIDRO",2-4,
"1,926",APOYO A PNP,22/10/2018 20:48,,"AV. MIRO QUESADA, AURELIO N° 1005, SAN ISIDRO",2-2,
"1,927",APOYO A PNP,21/10/2018 21:52,,"AV. PARDO Y ALIAGA, FELIPE, SAN ISIDRO",2-5,
"1,928",APOYO A PNP,21/10/2018 15:56,,"CA. BLONDET, MAYOR ARMANDO N° 0130, SAN ISIDRO",4-4,
"1,929",APOYO A PNP,21/10/2018 02:06,,"AV. LOS CONQUISTADORES N° 0965, SAN ISIDRO",3-3,
"1,930",APOYO A PNP,21/10/2018 00:16,,"CA. MERINO REYNA, AMADOR N° 0145 DPTO A, SAN ISIDRO",4-1,
"1,931",APOYO A PNP,20/10/2018 23:44,,"AV. SALAVERRY, GENERAL N° 3261 DPTO 804, SAN ISIDRO",2-2,
"1,932",APOYO A PNP,20/10/2018 23:09,,"MA. BERNALES GARCIA, LUIS N° 0155, SAN ISIDRO",2-1,
"1,933",APOYO A PNP,19/10/2018 13:23,,"CA. MAIMONIDES, MOSHE BEN MAIMON N° 0198, SAN ISIDRO",1-4,
"1,934",APOYO A PNP,19/10/2018 11:54,,"CA. GARCIA, GODOFREDO N° 0253, SAN ISIDRO",2-2,
"1,935",APOYO A PNP,17/10/2018 06:45,,"AV. PEZET, GENERAL JUAN ANTONIO N° 0750, SAN ISIDRO",2-5,
"1,936",APOYO A PNP,17/10/2018 05:15,,"CA. VANDERGHEN, JORGE N° 0540 INT 3B, SAN ISIDRO",2-6,
"1,937",APOYO A PNP,17/10/2018 03:34,,"AV. DEL PARQUE NORTE N° 0477 DPTO 101, SAN ISIDRO",5-2,
"1,938",APOYO A PNP,17/10/2018 00:07,,"CA. 54 (URB. CORPAC) N° 0109, SAN ISIDRO",5-1,
"1,939",APOYO A PNP,15/10/2018 11:31,,"C.HAB RESIDENCIAL SANTA CRUZ BLK J , SAN ISIDRO",2-4,
"1,940",APOYO A PNP,15/10/2018 11:21,,"CA. LOS EUCALIPTOS N° 0355 PIS 10, SAN ISIDRO",1-5,
"1,941",APOYO A PNP,15/10/2018 08:18,,"CA. CABO BLANCO, SAN ISIDRO",2-7,
"1,942",APOYO A PNP,14/10/2018 19:34,,"PZ. CORONEL LEONCIO PRADO N° SN, SAN ISIDRO",1-5,
"1,943",APOYO A PNP,14/10/2018 18:08,,"AV. PRADO OESTE, JAVIER N° 2039 DPTO 1304, SAN ISIDRO",1-4,
"1,944",APOYO A PNP,14/10/2018 15:24,,"PQ. PARQUE DE ACOSTA JOSE N° SN, SAN ISIDRO",2-1,
"1,945",APOYO A PNP,13/10/2018 04:12,,"CA. MAIMONIDES, MOSHE BEN MAIMON N° 0264 DPTO O, SAN ISIDRO",1-4,
"1,946",APOYO A PNP,13/10/2018 02:58,,"CA. SEMINARIO, MIGUEL GERÓNIMO N° 0250, SAN ISIDRO",4-4,
"1,947",APOYO A PNP,13/10/2018 02:20,,"C.HAB RESIDENCIAL SANTA CRUZ BLK O PATIO CENTRAL, SAN ISIDRO",2-4,
"1,948",APOYO A PNP,13/10/2018 00:50,,"AV. ANGAMOS N° 1630 PIS 2, SAN ISIDRO",2-6,
"1,949",APOYO A PNP,13/10/2018 00:35,,"AV. LOS CONQUISTADORES N° 0850, SAN ISIDRO",3-2,
"1,950",APOYO A PNP,13/10/2018 00:35,,"AV. BASADRE GROHMANN, JORGE N° 0356, SAN ISIDRO",3-1,
"1,951",APOYO A PNP,12/10/2018 23:48,,"CA. 29 (URB. CORPAC) N° 0136, SAN ISIDRO",5-4,
"1,952",APOYO A PNP,12/10/2018 23:27,,"CA. LOS NARANJOS N° 0227 PIS 4, SAN ISIDRO",1-2,
"1,953",APOYO A PNP,12/10/2018 22:00,,"AV. CANAVAL MOREYRA, ENRIQUE N° 0498, SAN ISIDRO",4-4,
"1,954",APOYO A PNP,11/10/2018 13:08,,"CA. COCHRANE, ALMIRANTE LORD N° 0278, SAN ISIDRO",3-2,
"1,955",APOYO A PNP,11/10/2018 11:23,,"CA. MAURTUA, VICTOR A. N° 0360 DPTO 301, SAN ISIDRO",2-6,
"1,956",APOYO A PNP,11/10/2018 08:54,,"CA. DEL CARPIO, JUAN N° 0277, SAN ISIDRO",4-3,
"1,957",APOYO A PNP,11/10/2018 08:50,,"AV. PARQUE SUR, DEL N° 5, SAN BORJA",,
"1,958",APOYO A PNP,10/10/2018 21:31,,"CA. VILLARAN, LUIS FELIPE N° 0388, SAN ISIDRO",4-3,
"1,959",APOYO A PNP,10/10/2018 20:28,,"AV. MARSANO, TOMAS N° CDRA3, SURQUILLO",,
"1,960",APOYO A PNP,10/10/2018 15:55,,"AV. GUARDIA CIVIL N° 1292, SAN ISIDRO",5-1,
"1,961",APOYO A PNP,09/10/2018 01:17,,"AV. AREQUIPA N° 3051, SAN ISIDRO",4-1,
"1,962",APOYO A PNP,09/10/2018 00:48,,"CA. 54 (URB. CORPAC) N° 0106, SAN ISIDRO",5-1,
"1,963",APOYO A PNP,09/10/2018 00:05,,"CA. ACOSTA, CARLOS N° 0130 INT 204, SAN ISIDRO",4-3,
"1,964",APOYO A PNP,08/10/2018 23:47,,"AV. PEREZ ARANIBAR, AUGUSTO N° 1847, SAN ISIDRO",2-7,
"1,965",APOYO A PNP,08/10/2018 23:15,,"AV. DEL PARQUE SUR N° 0490, SAN ISIDRO",5-4,
"1,966",APOYO A PNP,08/10/2018 22:17,,"CA. ROMANET, TENIENTE JOSÉ N° 0178, SAN ISIDRO",2-3,
"1,967",APOYO A PNP,07/10/2018 12:02,,"AV. PETIT THOUARS, SAN ISIDRO",4-3,
"1,968",APOYO A PNP,07/10/2018 08:10,,"CA. LA FLORIDA N° 0130, SAN ISIDRO",4-3,
"1,969",APOYO A PNP,06/10/2018 18:15,,"CA. CHINCHON N° 0828, SAN ISIDRO",4-2,
"1,970",APOYO A PNP,06/10/2018 17:45,,"AV. GUARDIA CIVIL N° 0990, SAN ISIDRO",5-1,
"1,971",APOYO A PNP,06/10/2018 17:35,,"CA. CABO BLANCO N° 0345 DPTO 201, SAN ISIDRO",2-7,
"1,972",APOYO A PNP,06/10/2018 17:30,,"AV. LOS CONQUISTADORES N° 0133, SAN ISIDRO",3-3,
"1,973",APOYO A PNP,05/10/2018 01:37,,"CA. LOS CASTAÑOS, SAN ISIDRO",1-5,
"1,974",APOYO A PNP,04/10/2018 18:50,,"AV. PETIT THOUARS N° 3975, SAN ISIDRO",4-3,
"1,975",APOYO A PNP,03/10/2018 08:53,,"CA. ALDANA, LUIS N° 0329 DPTO 501, SAN ISIDRO",5-3,
"1,976",APOYO A PNP,02/10/2018 21:27,,"AV. SANTO TORIBIO N° 0185, SAN ISIDRO",3-2,
"1,977",APOYO A PNP,02/10/2018 18:28,,"CA. BURGOS N° 0179 BLK B, SAN ISIDRO",1-2,
"1,978",APOYO A PNP,01/10/2018 02:09,,"CA. ODRIOZOLA, CORONEL N° 0320, SAN ISIDRO",4-3,
"1,979",APOYO A PNP,31/10/2018 08:17,,"CA. 32 (URB. CORPAC), SAN ISIDRO",5-4,
"1,980",APOYO A PNP,31/10/2018 07:25,,"AV. GALVEZ BARRENECHEA, JOSÉ, SAN ISIDRO",5-3,
"1,981",APOYO A PNP,24/10/2018 07:36,,"AV. PEREZ ARANIBAR, AUGUSTO N° 2071, SAN ISIDRO",2-7,
"1,982",APOYO A PNP,24/10/2018 07:29,,"CA. VELARDE, SAMUEL N° 0110, SAN ISIDRO",2-1,
"1,983",APOYO A PNP,16/10/2018 08:09,,"AV. PEREZ ARANIBAR, AUGUSTO N° 2076, SAN ISIDRO",2-2,
"1,984",APOYO A PNP,16/10/2018 07:29,,"CA. VELARDE, SAMUEL N° 0110, SAN ISIDRO",2-1,
"1,985",APOYO A PNP,12/10/2018 07:58,,"CA. DELLEPIANI, JUAN N° 0151, SAN ISIDRO",2-2,
"1,986",APOYO A PNP,12/10/2018 07:49,,"AV. PEREZ ARANIBAR, AUGUSTO N° 2076, SAN ISIDRO",2-2,
"1,987",APOYO A PNP,04/10/2018 08:12,,"CA. DELLEPIANI, JUAN N° 0151, SAN ISIDRO",2-2,
"1,988",APOYO A PNP,04/10/2018 07:33,,"AV. PEREZ ARANIBAR, AUGUSTO N° 2076, SAN ISIDRO",2-2,
"1,989",APOYO A PNP,04/10/2018 07:32,,"CA. VELARDE, SAMUEL N° 0110, SAN ISIDRO",2-1,
"1,990",APOYO A PNP,31/10/2018 04:02,,"AV. PARDO Y ALIAGA, FELIPE, SAN ISIDRO",2-5,
"1,991",APOYO A PNP,26/10/2018 18:00,,"CA. LA REPUBLICA N° 0455, SAN ISIDRO",3-3,
"1,992",APOYO A PNP,25/10/2018 14:45,,"AV. LOS INCAS N° 0205, SAN ISIDRO",3-3,
"1,993",APOYO A PNP,20/10/2018 13:05,,"PZ. BOLLAR, PADRE CONSTANCIO N° SN, SAN ISIDRO",3-1,
"1,994",APOYO A PNP,15/10/2018 07:23,,"CA. VELARDE, SAMUEL N° 0110, SAN ISIDRO",2-1,
"1,995",APOYO A PNP,14/10/2018 09:00,,"PQ. PARQUE BENEMERITA GUARDIA CIVIL N° SN, SAN ISIDRO",2-7,
"1,996",APOYO A PNP,14/10/2018 09:00,,"CA. LOS LIBERTADORES, SAN ISIDRO",3-2,
"1,997",APOYO A PNP,13/10/2018 15:37,,"AV. DASSO, MIGUEL N° 0111, SAN ISIDRO",2-5,
"1,998",APOYO A PNP,11/10/2018 19:10,,"AV. LOS INCAS N° 0270, SAN ISIDRO",3-3,
"1,999",APOYO A PNP,08/10/2018 09:40,,"PQ. BOSQUE EL OLIVAR N° SN, SAN ISIDRO",3-3,
"2,000",APOYO A PNP,07/10/2018 09:57,,"CA. ASPILLAGA, ANTERO, SAN ISIDRO",3-2,
"2,001",APOYO A PNP,01/10/2018 18:03,,"CA. DELLEPIANI, JUAN, SAN ISIDRO",2-2,
"2,002",APOYO A PNP,31/10/2018 20:53,Patrullaje Disuasivo,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO",3-2,
"2,003",APOYO A PNP,31/10/2018 15:28,Patrullaje Disuasivo,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO",2-2,
"2,004",APOYO A PNP,31/10/2018 14:11,Patrullaje Disuasivo,"AV. RIVERA NAVARRETE, RICARDO N° 0740, SAN ISIDRO",4-2,
"2,005",APOYO A PNP,31/10/2018 13:59,Patrullaje Disuasivo,"AV. DOS DE MAYO, SAN ISIDRO",3-1,
"2,006",APOYO A PNP,31/10/2018 13:44,Conminar / Retirar,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO",4-4,
"2,007",APOYO A PNP,31/10/2018 13:32,Conminar / Retirar,"CA. CHOQUEHUANCA, SAN ISIDRO",3-3,
"2,008",APOYO A PNP,31/10/2018 09:49,Conminar / Retirar,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO",4-4,
"2,009",APOYO A PNP,31/10/2018 09:40,Conminar / Retirar,"AV. GALVEZ BARRENECHEA, JOSÉ, SAN ISIDRO",5-3,
"2,010",APOYO A PNP,30/10/2018 17:29,Conminar / Retirar,"AV. PETIT THOUARS, SAN ISIDRO",4-1,
"2,011",APOYO A PNP,30/10/2018 15:34,Conminar / Retirar,"AV. REPUBLICA, PASEO DE LA N° 3530, SAN ISIDRO",4-3,
"2,012",APOYO A PNP,30/10/2018 15:29,Conminar / Retirar,"AV. DE ARONA, JUAN, SAN ISIDRO",4-2,
"2,013",APOYO A PNP,30/10/2018 12:37,Patrullaje Disuasivo,"CA. LAS ORQUIDEAS N° 0675, SAN ISIDRO",4-2,
"2,014",APOYO A PNP,30/10/2018 02:43,Conminar / Retirar,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO",4-2,
"2,015",APOYO A PNP,29/10/2018 17:37,Conminar / Retirar,"AV. REPUBLICA DE COLOMBIA, SAN ISIDRO",4-2,
"2,016",APOYO A PNP,29/10/2018 06:31,Conminar / Retirar,"AV. DE RIBERA, NICOLÁS N° 0212, SAN ISIDRO",1-6,
"2,017",APOYO A PNP,28/10/2018 08:50,Conminar / Retirar,"AV. PORTILLO, CORONEL PEDRO, SAN ISIDRO",2-3,
"2,018",APOYO A PNP,27/10/2018 20:26,Conminar / Retirar,"AV. PETIT THOUARS, SAN ISIDRO",4-1,
"2,019",APOYO A PNP,27/10/2018 17:03,Conminar / Retirar,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO",2-2,
"2,020",APOYO A PNP,27/10/2018 15:09,Conminar / Retirar,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO",2-2,
"2,021",APOYO A PNP,27/10/2018 13:05,Conminar / Retirar,"AV. PEZET, GENERAL JUAN ANTONIO N° 1301, SAN ISIDRO",2-2,
"2,022",APOYO A PNP,27/10/2018 12:14,Conminar / Retirar,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-4,
"2,023",APOYO A PNP,27/10/2018 10:18,Conminar / Retirar,"CA. TUCANES N° 0295, SAN ISIDRO",4-4,
"2,024",APOYO A PNP,26/10/2018 16:57,Conminar / Retirar,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-3,
"2,025",APOYO A PNP,26/10/2018 15:34,Conminar / Retirar,"AV. PRADO ESTE, JAVIER N° 0318, SAN ISIDRO",4-1,
"2,026",APOYO A PNP,26/10/2018 13:47,Patrullaje Disuasivo,"AV. PEZET, GENERAL JUAN ANTONIO N° 1301, SAN ISIDRO",2-2,
"2,027",APOYO A PNP,25/10/2018 21:59,Conminar / Retirar,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO",2-7,
"2,028",APOYO A PNP,25/10/2018 21:14,Conminar / Retirar,"AV. PORTILLO, CORONEL PEDRO N° 0641, SAN ISIDRO",2-3,
"2,029",APOYO A PNP,25/10/2018 15:23,Conminar / Retirar,"AV. CAMINO REAL N° SN, SAN ISIDRO",2-5,
"2,030",APOYO A PNP,24/10/2018 16:45,Conminar / Retirar,"AV. PEZET, GENERAL JUAN ANTONIO N° 1301, SAN ISIDRO",2-2,
"2,031",APOYO A PNP,24/10/2018 14:02,Conminar / Retirar,"AV. REPUBLICA DE PANAMA N° 3418 OFIC 302, SAN ISIDRO",4-4,
"2,032",APOYO A PNP,24/10/2018 13:06,Patrullaje Disuasivo,"AV. DE ALIAGA, JUAN, SAN ISIDRO",1-3,
"2,033",APOYO A PNP,24/10/2018 10:10,Conminar / Retirar,"CA. FUENTES, MANUEL ATANASIO N° 0526, SAN ISIDRO",4-3,
"2,034",APOYO A PNP,23/10/2018 18:33,Conminar / Retirar,"AV. PORTILLO, CORONEL PEDRO N° 0364, SAN ISIDRO",2-2,
"2,035",APOYO A PNP,23/10/2018 16:31,Conminar / Retirar,"AV. SANTA CRUZ N° SN, SAN ISIDRO",3-3,
"2,036",APOYO A PNP,23/10/2018 14:15,Patrullaje Disuasivo,"AV. REPUBLICA DE PANAMA, SAN ISIDRO",4-4,
"2,037",APOYO A PNP,23/10/2018 11:04,Conminar / Retirar,"CA. CLEMENTE X N° 0450, SAN ISIDRO",1-3,
"2,038",APOYO A PNP,22/10/2018 19:27,Patrullaje Disuasivo,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-1,
"2,039",APOYO A PNP,22/10/2018 16:52,Conminar / Retirar,"AV. CARRIQUIRY MAURER, PABLO, SAN ISIDRO",5-1,
"2,040",APOYO A PNP,22/10/2018 15:02,Patrullaje Disuasivo,"AV. SANTA CRUZ N° 0466, SAN ISIDRO",3-3,
"2,041",APOYO A PNP,21/10/2018 21:10,Conminar / Retirar,"AV. ALVAREZ CALDERON N° 0194, SAN ISIDRO",2-5,
"2,042",APOYO A PNP,20/10/2018 17:40,Conminar / Retirar,"CA. DELLEPIANI, JUAN N° 0733, SAN ISIDRO",2-7,
"2,043",APOYO A PNP,20/10/2018 17:15,Conminar / Retirar,"AV. MIRO QUESADA, AURELIO N° 0240, SAN ISIDRO",1-6,
"2,044",APOYO A PNP,20/10/2018 13:45,Conminar / Retirar,"AV. PEZET, GENERAL JUAN ANTONIO N° 1135, SAN ISIDRO",2-3,
"2,045",APOYO A PNP,20/10/2018 13:24,Conminar / Retirar,"AV. REPUBLICA DE PANAMA N° 3508, SAN ISIDRO",4-4,
"2,046",APOYO A PNP,20/10/2018 09:08,Conminar / Retirar,"AV. PRADO OESTE, JAVIER N° 0540, SAN ISIDRO",3-1,
"2,047",APOYO A PNP,19/10/2018 19:42,Conminar / Retirar,"AV. ALVAREZ CALDERON N° 0194, SAN ISIDRO",2-5,
"2,048",APOYO A PNP,19/10/2018 14:29,Conminar / Retirar,"AV. REPUBLICA DE PANAMA, SAN ISIDRO",4-4,
"2,049",APOYO A PNP,19/10/2018 09:09,Patrullaje Disuasivo,"AV. SANTO TORIBIO 0173 - VIA CENTRAL, SAN ISIDRO",1-6,
"2,050",APOYO A PNP,19/10/2018 07:25,Conminar / Retirar,"AV. CANAVAL MOREYRA, ENRIQUE, SAN ISIDRO",5-2,
"2,051",APOYO A PNP,18/10/2018 17:20,Patrullaje Disuasivo,"AV. DOS DE MAYO N° 0961, SAN ISIDRO",1-2,
"2,052",APOYO A PNP,18/10/2018 15:06,Patrullaje Disuasivo,"AV. DOS DE MAYO N° 0961, SAN ISIDRO",1-2,
"2,053",APOYO A PNP,17/10/2018 16:58,Conminar / Retirar,"AV. ARAMBURU, ANDRÉS N° SN, SAN ISIDRO",4-4,
"2,054",APOYO A PNP,17/10/2018 14:09,Conminar / Retirar,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO",4-3,
"2,055",APOYO A PNP,17/10/2018 07:18,Conminar / Retirar,"AV. CANAVAL MOREYRA, ENRIQUE, SAN ISIDRO",5-1,
"2,056",APOYO A PNP,16/10/2018 10:10,Conminar / Retirar,"CA. LOS CEDROS, SAN ISIDRO",1-2,
"2,057",APOYO A PNP,15/10/2018 21:57,Conminar / Retirar,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-1,
"2,058",APOYO A PNP,15/10/2018 19:59,Conminar / Retirar,"AV. PARDO Y ALIAGA, FELIPE, SAN ISIDRO",2-6,
"2,059",APOYO A PNP,15/10/2018 18:55,Conminar / Retirar,"CA. ARENALES, PROLONGACIÓN GENERAL N° 0480, SAN ISIDRO",3-3,
"2,060",APOYO A PNP,15/10/2018 14:44,Patrullaje Disuasivo,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0214, SAN ISIDRO",5-2,
"2,061",APOYO A PNP,15/10/2018 13:12,Conminar / Retirar,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 0664, SAN ISIDRO",5-2,
"2,062",APOYO A PNP,15/10/2018 12:41,Conminar / Retirar,"AV. PORTILLO, CORONEL PEDRO, SAN ISIDRO",2-2,
"2,063",APOYO A PNP,14/10/2018 16:27,Conminar / Retirar,"AV. PORTILLO, CORONEL PEDRO, SAN ISIDRO",2-2,
"2,064",APOYO A PNP,13/10/2018 19:48,Conminar / Retirar,"CA. ARENALES, PROLONGACIÓN GENERAL N° 0494, SAN ISIDRO",3-3,
"2,065",APOYO A PNP,13/10/2018 15:36,Conminar / Retirar,"AV. ALVAREZ CALDERON, SAN ISIDRO",2-5,
"2,066",APOYO A PNP,12/10/2018 16:27,Conminar / Retirar,"AV. CANAVAL MOREYRA, ENRIQUE N° 0380, SAN ISIDRO",4-4,
"2,067",APOYO A PNP,12/10/2018 13:35,Conminar / Retirar,"AV. ARAMBURU, ANDRÉS N° 1025, SAN ISIDRO",4-4,
"2,068",APOYO A PNP,11/10/2018 13:56,Conminar / Retirar,"AV. DASSO, MIGUEL N° 0101, SAN ISIDRO",2-5,
"2,069",APOYO A PNP,11/10/2018 13:26,Patrullaje Disuasivo,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 0658, SAN ISIDRO",5-2,
"2,070",APOYO A PNP,11/10/2018 12:56,Patrullaje Disuasivo,"AV. DE ALIAGA, JUAN N° 0476, SAN ISIDRO",1-3,
"2,071",APOYO A PNP,11/10/2018 12:35,Conminar / Retirar,"AV. PORTILLO, CORONEL PEDRO, SAN ISIDRO",2-2,
"2,072",APOYO A PNP,10/10/2018 18:06,Patrullaje Disuasivo,"AV. MIRO QUESADA, AURELIO N° 1030, SAN ISIDRO",1-4,
"2,073",APOYO A PNP,10/10/2018 16:38,Conminar / Retirar,"AV. DOS DE MAYO N° 1099, SAN ISIDRO",1-2,
"2,074",APOYO A PNP,10/10/2018 04:22,Conminar / Retirar,"AV. PRADO ESTE, JAVIER, SAN ISIDRO",4-2,
"2,075",APOYO A PNP,09/10/2018 13:20,Conminar / Retirar,"AV. LOS CONQUISTADORES, SAN ISIDRO",3-2,
"2,076",APOYO A PNP,09/10/2018 13:07,Conminar / Retirar,"AV. ARAMBURU, ANDRÉS N° 0981, SAN ISIDRO",4-4,
"2,077",APOYO A PNP,09/10/2018 00:18,Patrullaje Disuasivo,"AV. DOS DE MAYO, SAN ISIDRO",1-1,
"2,078",APOYO A PNP,08/10/2018 23:30,Conminar / Retirar,"AV. PRADO ESTE, JAVIER, SAN ISIDRO",4-2,
"2,079",APOYO A PNP,07/10/2018 11:05,Conminar / Retirar,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-1,
"2,080",APOYO A PNP,06/10/2018 11:55,Patrullaje Disuasivo,"AV. PEZET, GENERAL JUAN ANTONIO N° 1311, SAN ISIDRO",2-2,
"2,081",APOYO A PNP,05/10/2018 17:38,Conminar / Retirar,"AV. MIRO QUESADA, AURELIO N° SN, SAN ISIDRO",3-2,
"2,082",APOYO A PNP,04/10/2018 12:24,Patrullaje Disuasivo,"AV. ARAMBURU, ANDRÉS N° 1025, SAN ISIDRO",4-4,
"2,083",APOYO A PNP,04/10/2018 09:43,Patrullaje Disuasivo,"AV. DEL PARQUE NORTE, SAN ISIDRO",5-2,
"2,084",APOYO A PNP,03/10/2018 08:24,Patrullaje Disuasivo,"CA. ALZAMORA - ESTE, LIZARDO N° 0479, SAN ISIDRO",3-2,
"2,085",APOYO A PNP,03/10/2018 08:18,Conminar / Retirar,"CA. CLEMENTE X, SAN ISIDRO",1-3,
"2,086",APOYO A PNP,02/10/2018 17:11,Conminar / Retirar,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-1,
"2,087",APOYO A PNP,02/10/2018 16:23,Patrullaje Disuasivo,"AV. LOS CONQUISTADORES, SAN ISIDRO",3-3,
"2,088",APOYO A PNP,02/10/2018 13:08,Conminar / Retirar,"AV. DE ALIAGA, JUAN N° 0468, SAN ISIDRO",1-3,
"2,089",APOYO A PNP,02/10/2018 13:06,Conminar / Retirar,"AV. ARAMBURU, ANDRÉS N° 1025, SAN ISIDRO",4-4,
"2,090",APOYO A PNP,31/10/2018 22:35,,"C.HAB RESIDENCIAL SANTA CRUZ BLK P , SAN ISIDRO",2-4,
"2,091",APOYO A PNP,31/10/2018 20:11,,"C.HAB RESIDENCIAL SANTA CRUZ BLK S-T-U , SAN ISIDRO",2-4,
"2,092",APOYO A PNP,29/10/2018 20:40,,"AV. LOS INCAS PIS 01, SAN ISIDRO",3-1,
"2,093",APOYO A PNP,29/10/2018 15:30,,"C.HAB RESIDENCIAL SANTA CRUZ BLK A , SAN ISIDRO",2-4,
"2,094",APOYO A PNP,29/10/2018 06:09,,"CA. LA FLORIDA N° 0136, SAN ISIDRO",4-3,
"2,095",APOYO A PNP,28/10/2018 07:55,,"AV. GALVEZ BARRENECHEA, JOSÉ, SAN ISIDRO",5-1,
"2,096",APOYO A PNP,27/10/2018 21:53,,"C.HAB RESIDENCIAL SANTA CRUZ BLK S-T-U , SAN ISIDRO",2-4,
"2,097",APOYO A PNP,27/10/2018 16:22,,"CA. LOS CEDROS, SAN ISIDRO",1-5,
"2,098",APOYO A PNP,23/10/2018 22:53,,"C.HAB RESIDENCIAL SANTA CRUZ BLK STU , SAN ISIDRO",2-4,
