N°,CASO,DÍA,FECHA,MODALIDAD,MEDIO,DIRECCIÓN
"1,802",00762379,JUEVES,10/01/2019 08:08,Patrullaje Disuasivo,TELÉFONO,"AV. DASSO, MIGUEL, SAN ISIDRO"
"1,803",00762371,JUEVES,10/01/2019 07:27,Patrullaje Disuasivo,TELÉFONO,"AV. DE ALIAGA, JUAN, SAN ISIDRO"
"1,804",00761863,MARTES,08/01/2019 09:52,Patrullaje Disuasivo,RADIO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
"1,805",00761853,MARTES,08/01/2019 09:18,Patrullaje Disuasivo,RADIO,"CA. HALCONES, SAN ISIDRO"
"1,806",00761850,MARTES,08/01/2019 08:15,Patrullaje Disuasivo,RADIO,"CA. LAS CAMELIAS, SAN ISIDRO"
"1,807",00761849,MARTES,08/01/2019 08:07,Patrullaje Disuasivo,RADIO,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO"
"1,808",00761578,LUNES,07/01/2019 10:50,Conminar / Retirar,TELÉFONO,"AV. ESPINOSA Y G., CAPITÁN OCTAVIO N° 0120, SAN ISIDRO"
"1,809",00761253,SÁBADO,05/01/2019 18:23,Patrullaje Disuasivo,TELÉFONO,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO"
"1,810",00761168,SÁBADO,05/01/2019 10:17,Conminar / Retirar,TELÉFONO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
"1,811",00760670,JUEVES,03/01/2019 12:10,Conminar / Retirar,TELÉFONO,"AV. SANCHEZ CARRION, FAUSTINO N° SN, SAN ISIDRO"
"1,812",00760667,JUEVES,03/01/2019 11:48,Conminar / Retirar,TELÉFONO,"AV. DOS DE MAYO N° 1099, SAN ISIDRO"
"1,813",00760653,JUEVES,03/01/2019 07:46,Conminar / Retirar,RADIO,"CA. LAS ORQUIDEAS, SAN ISIDRO"
"1,814",00760470,MIÉRCOLES,02/01/2019 15:25,Conminar / Retirar,TELÉFONO,"CA. LOS EUCALIPTOS N° 0550, SAN ISIDRO"
"1,815",00760325,MARTES,01/01/2019 17:21,Conminar / Retirar,TELÉFONO,"AV. DEL PARQUE NORTE N° 0435, SAN ISIDRO"
"1,816",00768158,JUEVES,31/01/2019 22:48,,TELÉFONO,"AV. AREQUIPA, SAN ISIDRO"
"1,817",00768156,JUEVES,31/01/2019 22:44,,TELÉFONO,"PQ. ERNESTO ALAYZA GRUNDY  (URB. CHACARILLA STA. CRUZ) N° SN, SAN ISIDRO"
"1,818",00768145,JUEVES,31/01/2019 22:19,,TELÉFONO,"CA. ACOSTA, CARLOS N° 180170, SAN ISIDRO"
"1,819",00768098,JUEVES,31/01/2019 18:48,,TELÉFONO,"CA. CHACARILLA, SAN ISIDRO"
"1,820",00767551,MARTES,29/01/2019 20:04,,TELÉFONO,"CA. REYES, CORONEL ANDRÉS N° SN, SAN ISIDRO"
"1,821",00767041,LUNES,28/01/2019 00:37,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK Q , SAN ISIDRO"
"1,822",00767037,DOMINGO,27/01/2019 23:45,,TELÉFONO,"CA. RIO DE LA PLATA N° 010106, SAN ISIDRO"
"1,823",00767028,DOMINGO,27/01/2019 23:05,,TELÉFONO,"CA. RIO DE LA PLATA N° 040170, SAN ISIDRO"
"1,824",00766840,SÁBADO,26/01/2019 22:54,,TELÉFONO,"AV. REPUBLICA DE COLOMBIA N° 140140, SAN ISIDRO"
"1,825",00766775,SÁBADO,26/01/2019 18:24,,TELÉFONO,"PQ. PARQUE GUATEMALA N° SN, SAN ISIDRO"
"1,826",00766766,SÁBADO,26/01/2019 16:47,,TELÉFONO,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO"
"1,827",00766662,SÁBADO,26/01/2019 06:05,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK O , SAN ISIDRO"
"1,828",00766645,SÁBADO,26/01/2019 00:39,,TELÉFONO,"AV. AREQUIPA, SAN ISIDRO"
"1,829",00766536,VIERNES,25/01/2019 18:11,,TELÉFONO,"PQ. MARIO POLAR UGARTECHE N° SN, SAN ISIDRO"
"1,830",00766222,JUEVES,24/01/2019 17:23,,TELÉFONO,"CA. ACOSTA, CARLOS N° 180170, SAN ISIDRO"
"1,831",00765962,MIÉRCOLES,23/01/2019 20:15,,RADIO,"AV. REPUBLICA DE COLOMBIA N° 060189, SAN ISIDRO"
"1,832",00765630,MARTES,22/01/2019 18:18,,TELÉFONO,"AV. DE ALIAGA, JUAN, SAN ISIDRO"
"1,833",00765181,LUNES,21/01/2019 02:53,,TELÉFONO,"AV. CAVENECIA, EMILIO N° 0210, SAN ISIDRO"
"1,834",00765169,DOMINGO,20/01/2019 23:23,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK U FRENTE BLOCK - U, SAN ISIDRO"
"1,835",00765110,DOMINGO,20/01/2019 17:31,,TELÉFONO,"CA. ACOSTA, CARLOS N° 060165, SAN ISIDRO"
"1,836",00765007,DOMINGO,20/01/2019 01:15,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK Q -P, SAN ISIDRO"
"1,837",00764995,SÁBADO,19/01/2019 23:50,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK U , SAN ISIDRO"
"1,838",00764989,SÁBADO,19/01/2019 23:13,,TELÉFONO,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO"
"1,839",00764854,SÁBADO,19/01/2019 13:53,,TELÉFONO,"PZ. BOLLAR, PADRE CONSTANCIO N° 060205, SAN ISIDRO"
"1,840",00764690,VIERNES,18/01/2019 20:30,,TELÉFONO,"PQ. PARQUE BERNALES N° SN, SAN ISIDRO"
"1,841",00764667,VIERNES,18/01/2019 19:24,,TELÉFONO,"AV. PRADO ESTE, JAVIER N° 010499, SAN ISIDRO"
"1,842",00764663,VIERNES,18/01/2019 18:59,,TELÉFONO,"AV. AREQUIPA N° 122745, SAN ISIDRO"
"1,843",00764644,VIERNES,18/01/2019 17:13,,TELÉFONO,"AV. SANCHEZ CARRION, FAUSTINO N° 0465, SAN ISIDRO"
"1,844",00764415,JUEVES,17/01/2019 18:08,,TELÉFONO,"PQ. GENERAL LA FUENTE N° SN, SAN ISIDRO"
"1,845",00764166,MIÉRCOLES,16/01/2019 20:15,,TELÉFONO,"CA. CHOQUEHUANCA N° 150161 DPTO 404, SAN ISIDRO"
"1,846",00764160,MIÉRCOLES,16/01/2019 20:03,,TELÉFONO,"CA. ASPILLAGA, ANTERO N° 030230, SAN ISIDRO"
"1,847",00764041,MIÉRCOLES,16/01/2019 11:56,,RADIO,"CA. LA FLORIDA, SAN ISIDRO"
"1,848",00763950,MIÉRCOLES,16/01/2019 00:14,,TELÉFONO,"AV. REPUBLICA DE PANAMA, SAN ISIDRO"
"1,849",00763902,MARTES,15/01/2019 20:16,,RADIO,"PQ. PARQUE MANUEL VICENTE VILLARAN N° SN, SAN ISIDRO"
"1,850",00763570,LUNES,14/01/2019 17:19,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK A , SAN ISIDRO"
"1,851",00763521,LUNES,14/01/2019 14:24,,TELÉFONO,"AV. ALAYZA Y PAZ SOLDAN, FRANCISCO, SAN ISIDRO"
"1,852",00763329,DOMINGO,13/01/2019 13:33,,TELÉFONO,"CA. BAÑON, MANUEL N° 020105, SAN ISIDRO"
"1,853",00763273,DOMINGO,13/01/2019 07:26,,TELÉFONO,"CA. VILLARREAL, FEDERICO N° 020324, SAN ISIDRO"
"1,854",00763210,SÁBADO,12/01/2019 23:19,,RADIO,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
"1,855",00763136,SÁBADO,12/01/2019 18:22,,TELÉFONO,"PQ. PARQUE DE MORA, CONTRALMIRANTE ERNESTO N° SN, SAN ISIDRO"
"1,856",00762954,SÁBADO,12/01/2019 04:29,,TELÉFONO,"AV. PRADO OESTE, JAVIER N° 2595, SAN ISIDRO"
"1,857",00762927,SÁBADO,12/01/2019 00:15,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK A , SAN ISIDRO"
"1,858",00762924,VIERNES,11/01/2019 23:59,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK A , SAN ISIDRO"
"1,859",00762912,VIERNES,11/01/2019 23:01,,TELÉFONO,"CA. REYES, CORONEL ANDRÉS N° 0405, SAN ISIDRO"
"1,860",00762902,VIERNES,11/01/2019 22:28,,TELÉFONO,"CA. BURGOS N° 0179, SAN ISIDRO"
"1,861",00762893,VIERNES,11/01/2019 20:46,,RADIO,"CA. EL PARQUE N° SN, SAN ISIDRO"
"1,862",00762573,JUEVES,10/01/2019 21:22,,TELÉFONO,"CA. ACOSTA, CARLOS N° 0190, SAN ISIDRO"
"1,863",00762534,JUEVES,10/01/2019 18:35,,TELÉFONO,"CA. ASPILLAGA, ANTERO N° 0410, SAN ISIDRO"
"1,864",00761893,MARTES,08/01/2019 11:24,,TELÉFONO,"CA. CHACARILLA, SAN ISIDRO"
"1,865",00761748,LUNES,07/01/2019 19:53,,TELÉFONO,"CA. CLEMENTE X N° 0463 DPTO 202, SAN ISIDRO"
"1,866",00761616,LUNES,07/01/2019 12:49,,TELÉFONO,"CA. BILBAO N° 0190, SAN ISIDRO"
"1,867",00761464,DOMINGO,06/01/2019 20:47,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK S Y T , SAN ISIDRO"
"1,868",00761261,SÁBADO,05/01/2019 19:03,,TELÉFONO,"CA. BUSTAMANTE Y BALLIVIAN, ENRIQUE, SAN ISIDRO"
"1,869",00761225,SÁBADO,05/01/2019 15:07,,TELÉFONO,"CA. PLASCENCIA, ERNESTO N° 0103 DPTO 501, SAN ISIDRO"
"1,870",00761052,VIERNES,04/01/2019 19:45,,TELÉFONO,"AV. REPUBLICA, PASEO DE LA N° 3151, SAN ISIDRO"
"1,871",00760744,JUEVES,03/01/2019 17:03,,TELÉFONO,"CA. MORALES DE LA TORRE, RAYMUNDO, SAN ISIDRO"
"1,872",00762726,VIERNES,11/01/2019 11:35,Conminar / Retirar,TELÉFONO,"CA. LA FUENTE, GENERAL N° 0393, SAN ISIDRO"
"1,873",00762256,MIÉRCOLES,09/01/2019 17:21,Patrullaje Disuasivo,TELÉFONO,"AV. PRADO ESTE, JAVIER N° 0318, SAN ISIDRO"
"1,874",00768155,JUEVES,31/01/2019 22:42,Patrullaje Disuasivo,TELÉFONO,"CA. BARCELONA, SAN ISIDRO"
"1,875",00768092,JUEVES,31/01/2019 18:30,Patrullaje Disuasivo,TELÉFONO,"AV. DEL PARQUE SUR N° 0450 DPTO 202, SAN ISIDRO"
"1,876",00768073,JUEVES,31/01/2019 17:51,Patrullaje Disuasivo,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO N° 1872, SAN ISIDRO"
"1,877",00767986,JUEVES,31/01/2019 14:15,Conminar / Retirar,TELÉFONO,"AV. DEL PARQUE NORTE N° 0238, SAN ISIDRO"
"1,878",00767930,JUEVES,31/01/2019 09:38,Patrullaje Disuasivo,RADIO,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
"1,879",00767780,MIÉRCOLES,30/01/2019 18:53,Patrullaje Disuasivo,TELÉFONO,"CA. LA TORRE, BALTAZAR N° 120435, SAN ISIDRO"
"1,880",00767760,MIÉRCOLES,30/01/2019 17:19,Conminar / Retirar,RADIO,"CA. MASIAS, FRANCISCO, SAN ISIDRO"
"1,881",00767746,MIÉRCOLES,30/01/2019 16:59,Conminar / Retirar,TELÉFONO,"AV. PRADO ESTE, JAVIER N° 0990, SAN ISIDRO"
"1,882",00767706,MIÉRCOLES,30/01/2019 13:57,Patrullaje Disuasivo,TELÉFONO,"AV. LOS CONQUISTADORES N° 080461, SAN ISIDRO"
"1,883",00767698,MIÉRCOLES,30/01/2019 13:40,Conminar / Retirar,TELÉFONO,"CA. LAS FLORES, SAN ISIDRO"
"1,884",00767656,MIÉRCOLES,30/01/2019 10:58,Conminar / Retirar,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO"
"1,885",00767552,MARTES,29/01/2019 20:06,Conminar / Retirar,TELÉFONO,"CA. FERREYROS URMENETA, DR. CARLOS ENRIQUE N° 020377, SAN ISIDRO"
"1,886",00767528,MARTES,29/01/2019 17:47,Conminar / Retirar,TELÉFONO,"AV. PETIT THOUARS N° 233975, SAN ISIDRO"
"1,887",00767523,MARTES,29/01/2019 17:34,Conminar / Retirar,TELÉFONO,"CA. LOS PETIRROJOS N° 120215, SAN ISIDRO"
"1,888",00767046,LUNES,28/01/2019 03:45,Conminar / Retirar,TELÉFONO,"CA. LOS CEDROS N° 0615, SAN ISIDRO"
"1,889",00767039,LUNES,28/01/2019 00:07,Conminar / Retirar,TELÉFONO,"CA. LA TORRE, BALTAZAR N° 0654, SAN ISIDRO"
"1,890",00767026,DOMINGO,27/01/2019 22:42,Patrullaje Disuasivo,TELÉFONO,"AV. RIVERA NAVARRETE, RICARDO N° 030757 DPTO H, SAN ISIDRO"
"1,891",00766946,DOMINGO,27/01/2019 14:33,Patrullaje Disuasivo,RADIO,"CA. LAS ORQUIDEAS, SAN ISIDRO"
"1,892",00766802,SÁBADO,26/01/2019 20:21,Conminar / Retirar,TELÉFONO,"AV. CANAVAL MOREYRA, ENRIQUE N° 0622, SAN ISIDRO"
"1,893",00766719,SÁBADO,26/01/2019 12:15,Conminar / Retirar,TELÉFONO,"AV. SALAVERRY, GENERAL, SAN ISIDRO"
"1,894",00766718,SÁBADO,26/01/2019 12:13,Conminar / Retirar,TELÉFONO,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0274 DPTO 402, SAN ISIDRO"
"1,895",00766683,SÁBADO,26/01/2019 09:29,Conminar / Retirar,TELÉFONO,"PQ. GOSTA LETTERSTEN HOLTZEN N° SN, SAN ISIDRO"
"1,896",00766474,VIERNES,25/01/2019 15:08,Conminar / Retirar,TELÉFONO,"CA. HARRIS, PAUL P. N° 0219, SAN ISIDRO"
"1,897",00766334,VIERNES,25/01/2019 01:43,Conminar / Retirar,TELÉFONO,"CA. FUENTES, MANUEL ATANASIO N° 060662, SAN ISIDRO"
"1,898",00766328,VIERNES,25/01/2019 01:00,Conminar / Retirar,TELÉFONO,"AV. GUARDIA CIVIL N° 0926, SAN ISIDRO"
"1,899",00766326,VIERNES,25/01/2019 00:12,Conminar / Retirar,TELÉFONO,"AV. PEZET, GENERAL JUAN ANTONIO N° 1441, SAN ISIDRO"
"1,900",00766318,JUEVES,24/01/2019 22:28,Patrullaje Disuasivo,RADIO,"CA. LAS ORQUIDEAS, SAN ISIDRO"
"1,901",00766015,MIÉRCOLES,23/01/2019 23:40,Conminar / Retirar,TELÉFONO,"CA. CONCHA, CARLOS N° 0325, SAN ISIDRO"
"1,902",00765845,MIÉRCOLES,23/01/2019 14:14,Conminar / Retirar,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO N° 1324, SAN ISIDRO"
"1,903",00765839,MIÉRCOLES,23/01/2019 13:50,Conminar / Retirar,TELÉFONO,"CA. POLAR, JUAN MANUEL, SAN ISIDRO"
"1,904",00765764,MIÉRCOLES,23/01/2019 10:28,Patrullaje Disuasivo,TELÉFONO,"CA. EGUIGUREN, FRANCISCO JOSÉ N° 0211, SAN ISIDRO"
"1,905",00765514,MARTES,22/01/2019 11:39,Patrullaje Disuasivo,TELÉFONO,"PSJE. ARROSPIDE LOYOLA, JORGE N° 030218, SAN ISIDRO"
"1,906",00765351,LUNES,21/01/2019 17:45,Patrullaje Disuasivo,TELÉFONO,"AV. DE ARONA, JUAN N° 180220, SAN ISIDRO"
"1,907",00765330,LUNES,21/01/2019 16:30,Conminar / Retirar,TELÉFONO,"PZ. BOLLAR, PADRE CONSTANCIO N° SN, SAN ISIDRO"
"1,908",00764972,SÁBADO,19/01/2019 22:00,Conminar / Retirar,TELÉFONO,"CA. LOS LIBERTADORES N° 0596, SAN ISIDRO"
"1,909",00764807,SÁBADO,19/01/2019 10:36,Patrullaje Disuasivo,TELÉFONO,"AV. SANTA CRUZ N° 090236, SAN ISIDRO"
"1,910",00764550,VIERNES,18/01/2019 11:34,Patrullaje Disuasivo,TELÉFONO,"CA. VIRTUD Y UNION N° 0215, SAN ISIDRO"
"1,911",00764498,JUEVES,17/01/2019 22:41,Patrullaje Disuasivo,RADIO,"CA. MASIAS, FRANCISCO, SAN ISIDRO"
"1,912",00764449,JUEVES,17/01/2019 20:56,Conminar / Retirar,TELÉFONO,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO"
"1,913",00764234,JUEVES,17/01/2019 00:41,Conminar / Retirar,TELÉFONO,"AV. DEL PARQUE SUR, SAN ISIDRO"
"1,914",00764225,MIÉRCOLES,16/01/2019 23:55,Patrullaje Disuasivo,TELÉFONO,"CA. GRAÑA ELIZALDE, CARLOS, SAN ISIDRO"
"1,915",00764201,MIÉRCOLES,16/01/2019 22:39,Patrullaje Disuasivo,TELÉFONO,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0509, SAN ISIDRO"
"1,916",00763641,LUNES,14/01/2019 21:39,Patrullaje Disuasivo,TELÉFONO,"AV. DOS DE MAYO, SAN ISIDRO"
"1,917",00763639,LUNES,14/01/2019 21:33,Conminar / Retirar,TELÉFONO,"AV. DEL CAMPO, ALBERTO N° 100360, SAN ISIDRO"
"1,918",00763632,LUNES,14/01/2019 20:45,Patrullaje Disuasivo,RADIO,"AV. PETIT THOUARS, SAN ISIDRO"
"1,919",00763599,LUNES,14/01/2019 18:25,Patrullaje Disuasivo,RADIO,"CA. TOLEDO, VIRREY, SAN ISIDRO"
"1,920",00763558,LUNES,14/01/2019 16:30,Conminar / Retirar,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ ENTRE LA PIRAMIDE LETRA C Y E., SAN ISIDRO"
"1,921",00763348,DOMINGO,13/01/2019 15:35,Conminar / Retirar,TELÉFONO,"CA. ASPILLAGA, ANTERO, SAN ISIDRO"
"1,922",00763270,DOMINGO,13/01/2019 05:24,Conminar / Retirar,TELÉFONO,"CA. LOS NARANJOS N° 200255, SAN ISIDRO"
"1,923",00763248,DOMINGO,13/01/2019 02:46,Conminar / Retirar,TELÉFONO,"CA. BURGOS N° 0173, SAN ISIDRO"
"1,924",00762745,VIERNES,11/01/2019 12:39,Conminar / Retirar,TELÉFONO,"AV. PRADO OESTE, JAVIER N° 1610, SAN ISIDRO"
"1,925",00762696,VIERNES,11/01/2019 08:58,Patrullaje Disuasivo,TELÉFONO,"CA. LAS ORQUIDEAS, SAN ISIDRO"
"1,926",00762580,JUEVES,10/01/2019 21:50,Conminar / Retirar,TELÉFONO,"CA. BLONDET, MAYOR ARMANDO N° 0139, SAN ISIDRO"
"1,927",00762498,JUEVES,10/01/2019 16:17,Patrullaje Disuasivo,TELÉFONO,"CA. LOS LAURELES N° 0274, SAN ISIDRO"
"1,928",00762082,MIÉRCOLES,09/01/2019 00:12,Conminar / Retirar,TELÉFONO,"CA. LOS FICUS N° 0311, SAN ISIDRO"
"1,929",00761877,MARTES,08/01/2019 10:56,Patrullaje Disuasivo,TELÉFONO,"CA. VILLARREAL, FEDERICO N° 0480, SAN ISIDRO"
"1,930",00761581,LUNES,07/01/2019 10:19,Patrullaje Disuasivo,RADIO,"CA. VALDIVIA, DEAN, SAN ISIDRO"
"1,931",00761477,DOMINGO,06/01/2019 21:58,Conminar / Retirar,TELÉFONO,"CA. LAS OROPENDOLAS N° 0451, SAN ISIDRO"
"1,932",00761475,DOMINGO,06/01/2019 21:54,Patrullaje Disuasivo,TELÉFONO,"CA. LAS OROPENDOLAS N° 0451, SAN ISIDRO"
"1,933",00761444,DOMINGO,06/01/2019 17:33,Conminar / Retirar,TELÉFONO,"AV. PETIT THOUARS, SAN ISIDRO"
"1,934",00761089,VIERNES,04/01/2019 22:41,Patrullaje Disuasivo,TELÉFONO,"AV. ARAMBURU, ANDRÉS N° 0725, SAN ISIDRO"
"1,935",00760843,VIERNES,04/01/2019 05:32,Patrullaje Disuasivo,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK 104 Q, SAN ISIDRO"
"1,936",00760658,JUEVES,03/01/2019 10:25,Patrullaje Disuasivo,RADIO,"CA. GIBSON MOLLER, PERCY, SAN ISIDRO"
"1,937",00760613,JUEVES,03/01/2019 09:00,Patrullaje Disuasivo,TELÉFONO,"CA. EL DORADO N° 0140, SAN ISIDRO"
"1,938",00760538,MIÉRCOLES,02/01/2019 20:07,Conminar / Retirar,TELÉFONO,"CA. 15 (URB. CORPAC), SAN ISIDRO"
"1,939",00760536,MIÉRCOLES,02/01/2019 19:57,Conminar / Retirar,TELÉFONO,"CA. 32 (URB. CORPAC) N° 0135, SAN ISIDRO"
"1,940",00760495,MIÉRCOLES,02/01/2019 16:07,Conminar / Retirar,RADIO,"AV. DE ARONA, JUAN, SAN ISIDRO"
"1,941",00763938,MARTES,15/01/2019 23:03,Conminar / Retirar,TELÉFONO,"AV. AREQUIPA, SAN ISIDRO"
"1,942",00762604,JUEVES,10/01/2019 22:37,Patrullaje Disuasivo,TELÉFONO,"AV. AREQUIPA N° 3633 DPTO 702., SAN ISIDRO"
"1,943",00761110,SÁBADO,05/01/2019 00:19,Patrullaje Disuasivo,TELÉFONO,"CA. RIO DE LA PLATA N° 0170 DPTO 402, SAN ISIDRO"
"1,944",00768141,JUEVES,31/01/2019 22:10,Conminar / Retirar,TELÉFONO,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 0908, SAN ISIDRO"
"1,945",00768142,JUEVES,31/01/2019 22:10,Conminar / Retirar,TELÉFONO,"AV. SANTO TORIBIO N° 040355, SAN ISIDRO"
"1,946",00768140,JUEVES,31/01/2019 22:07,Conminar / Retirar,TELÉFONO,"AV. DOS DE MAYO N° 061732, SAN ISIDRO"
"1,947",00767935,JUEVES,31/01/2019 11:58,Patrullaje Disuasivo,TELÉFONO,"CA. 20 (URB. CORPAC) N° 0159, SAN ISIDRO"
"1,948",00767819,MIÉRCOLES,30/01/2019 22:20,Conminar / Retirar,TELÉFONO,"AV. DOS DE MAYO, SAN ISIDRO"
"1,949",00767711,MIÉRCOLES,30/01/2019 14:05,Conminar / Retirar,TELÉFONO,"CA. LA PERRICHOLI N° 070108, SAN ISIDRO"
"1,950",00767647,MIÉRCOLES,30/01/2019 10:21,Patrullaje Disuasivo,TELÉFONO,"CA. VILLARAN, LUIS FELIPE DPTO 3, SAN ISIDRO"
"1,951",00767515,MARTES,29/01/2019 17:01,Conminar / Retirar,TELÉFONO,"CA. ROAUD Y PAZ SOLDAN, MANUEL N° 120220, SAN ISIDRO"
"1,952",00767355,MARTES,29/01/2019 06:23,Conminar / Retirar,TELÉFONO,"CA. GARCIA, GODOFREDO N° 0490, SAN ISIDRO"
"1,953",00767322,LUNES,28/01/2019 23:09,Conminar / Retirar,TELÉFONO,"CA. LOS RUISEÑORES OESTE, SAN ISIDRO"
"1,954",00767027,DOMINGO,27/01/2019 22:43,Conminar / Retirar,TELÉFONO,"CA. SALAZAR, PROLONG. ALFÉREZ ALFREDO N° 0198, SAN ISIDRO"
"1,955",00766924,DOMINGO,27/01/2019 13:27,Conminar / Retirar,TELÉFONO,"CA. FLORA TRISTAN N° 0501, SAN ISIDRO"
"1,956",00766902,DOMINGO,27/01/2019 11:08,Patrullaje Disuasivo,TELÉFONO,"CA. GARCIA, GODOFREDO N° 0490, SAN ISIDRO"
"1,957",00766793,SÁBADO,26/01/2019 19:41,Conminar / Retirar,TELÉFONO,"CA. GARCIA, GODOFREDO N° 0490, SAN ISIDRO"
"1,958",00766768,SÁBADO,26/01/2019 16:52,Patrullaje Disuasivo,RADIO,"AV. DE ARONA, JUAN, SAN ISIDRO"
"1,959",00766494,VIERNES,25/01/2019 15:44,Conminar / Retirar,TELÉFONO,"CA. TUCANES N° 120295, SAN ISIDRO"
"1,960",00766400,VIERNES,25/01/2019 11:18,Patrullaje Disuasivo,TELÉFONO,"AV. PRESCOTT, GUILLERMO N° 0129, SAN ISIDRO"
"1,961",00766349,VIERNES,25/01/2019 07:47,Conminar / Retirar,TELÉFONO,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0668, SAN ISIDRO"
"1,962",00766340,VIERNES,25/01/2019 04:21,Conminar / Retirar,TELÉFONO,"AV. BASADRE GROHMANN, JORGE, SAN ISIDRO"
"1,963",00766333,VIERNES,25/01/2019 00:45,Patrullaje Disuasivo,RADIO,"CA. LAS BEGONIAS, SAN ISIDRO"
"1,964",00766323,JUEVES,24/01/2019 23:56,Patrullaje Disuasivo,RADIO,"AV. PORTILLO, CORONEL PEDRO N° 0696, SAN ISIDRO"
"1,965",00766074,JUEVES,24/01/2019 10:14,Conminar / Retirar,TELÉFONO,"CA. LA MARISCALA, SAN ISIDRO"
"1,966",00766039,JUEVES,24/01/2019 07:22,Conminar / Retirar,TELÉFONO,"CA. FUENTES, MANUEL ATANASIO N° 040770, SAN ISIDRO"
"1,967",00765983,MIÉRCOLES,23/01/2019 21:52,Patrullaje Disuasivo,TELÉFONO,"AV. GUARDIA CIVIL N° 0650, SAN ISIDRO"
"1,968",00765865,MIÉRCOLES,23/01/2019 14:48,Conminar / Retirar,TELÉFONO,"CA. SANTA MARGARITA N° 0239, SAN ISIDRO"
"1,969",00765861,MIÉRCOLES,23/01/2019 14:40,Conminar / Retirar,TELÉFONO,"CA. LA FLORIDA, SAN ISIDRO"
"1,970",00765825,MIÉRCOLES,23/01/2019 13:24,Patrullaje Disuasivo,TELÉFONO,"CA. SANTA MARGARITA N° 0236, SAN ISIDRO"
"1,971",00765678,MARTES,22/01/2019 21:51,Conminar / Retirar,TELÉFONO,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0260, SAN ISIDRO"
"1,972",00765665,MARTES,22/01/2019 21:12,Conminar / Retirar,TELÉFONO,"CA. ROCCA DE VERGALLO, NICANOR, SAN ISIDRO"
"1,973",00765620,MARTES,22/01/2019 17:50,Conminar / Retirar,TELÉFONO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
"1,974",00765615,MARTES,22/01/2019 17:38,Patrullaje Disuasivo,TELÉFONO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
"1,975",00765595,MARTES,22/01/2019 16:04,Conminar / Retirar,TELÉFONO,"CA. HALCONES, SAN ISIDRO"
"1,976",00765626,MARTES,22/01/2019 15:19,Conminar / Retirar,RADIO,"CA. TUCANES N° 120295, SAN ISIDRO"
"1,977",00765549,MARTES,22/01/2019 13:54,Patrullaje Disuasivo,TELÉFONO,"AV. CARRIQUIRY MAURER, PABLO N° 0816, SAN ISIDRO"
"1,978",00765438,MARTES,22/01/2019 02:08,Patrullaje Disuasivo,TELÉFONO,"CA. REYES, CORONEL ANDRÉS N° 020226, SAN ISIDRO"
"1,979",00765408,LUNES,21/01/2019 20:49,Patrullaje Disuasivo,TELÉFONO,"CA. GARCIA, GODOFREDO, SAN ISIDRO"
"1,980",00765373,LUNES,21/01/2019 18:31,Conminar / Retirar,TELÉFONO,"AV. GUARDIA CIVIL N° 0960, SAN ISIDRO"
"1,981",00765214,LUNES,21/01/2019 09:13,Conminar / Retirar,TELÉFONO,"CA. LOS FICUS N° 130347, SAN ISIDRO"
"1,982",00765154,DOMINGO,20/01/2019 22:12,Conminar / Retirar,TELÉFONO,"CA. EDISON, TOMÁS N° 0215, SAN ISIDRO"
"1,983",00765129,DOMINGO,20/01/2019 19:27,Conminar / Retirar,TELÉFONO,"CA. LOS NOGALES, SAN ISIDRO"
"1,984",00765024,DOMINGO,20/01/2019 00:56,Patrullaje Disuasivo,RADIO,"CA. LAS MORERAS N° 0112, SAN ISIDRO"
